HT,AT,TYPE,HTPTS,HTTWOFG,HTTWOFGTOTAL,HTTHREEFG,HTTHREEFGTOTAL,HTFT,HTFTTOTAL,HTREBO,HTREBD,HTREBT,HTAS,HTST,HTTO,HTBLFV,HTBLAG,HTFOULSCM,HTFOULSRV,HTPIR,ATPTS,ATTWOFG,ATTWOFGTOTAL,ATTHREEFG,ATTHREEFGTOTAL,ATFT,ATFTTOTAL,ATREBO,ATREBD,ATREBT,ATAS,ATST,ATTO,ATBLFV,ATBLAG,ATFOULSCM,ATFOULSRV,ATPIR,HTFQ,HTSQ,HTTQ,HTFQ2,HTFO,HTSO,ATFQ,ATSQ,ATTQ,ATFQ2,ATFO,ATSO,HTFQCUM,HTSCCUM,HTTQCUM,HTFQCUM2,HTFOUM,HTSOCUM,ATFQCUM,ATSCCUM,ATTQCUM,ATFQCUM2,ATFOCUM,ATSOCUM
Lugano Snakes, Zadar,FT,75,25,47,6,16,7,13,15,21,36,3,16,17,0,0,24,20,71,74,24,44,4,13,14,22,11,21,32,4,19,14,0,0,20,24,82,21,17,16,21,,,18,19,15,22,,,21,38,54,75,,,18,37,52,74,,
PAF Bologna, Zalgiris Kaunas,FT,91,22,44,5,15,32,44,11,25,36,8,21,10,2,5,24,33,108,85,14,31,13,27,18,23,8,28,36,9,10,17,5,2,33,24,81,19,30,22,20,,,22,27,16,20,,,19,49,71,91,,,22,49,65,85,,
Adecco Estudiantes, Peristeri,FT,86,20,36,8,22,22,31,10,23,33,12,9,13,1,1,22,22,88,91,19,34,11,27,20,23,10,19,29,13,8,12,1,1,22,22,95,13,19,22,32,,,23,29,14,25,,,13,32,54,86,,,23,52,66,91,,
Region Wallone Spirou Charleroi, Saint Petersburg Lions,FT,80,27,41,6,25,8,15,5,27,32,7,7,10,1,1,25,0,51,68,20,42,3,13,19,25,7,25,32,5,2,14,1,1,21,0,34,23,25,12,20,,,19,20,15,14,,,23,48,60,80,,,19,39,54,68,,
AEK Athens, Kinder Virtus Bologna,FT,78,21,35,6,16,18,35,14,22,36,12,8,19,1,2,25,30,78,77,19,36,9,24,12,19,12,17,29,8,8,18,2,1,30,25,61,24,15,27,12,,,15,21,19,22,,,24,39,66,78,,,15,36,55,77,,
Cibona VIP, Tau Ceramica Vitoria,FT,62,16,31,4,16,18,28,7,19,26,5,11,19,3,1,23,25,52,60,19,34,2,13,16,21,5,17,22,8,8,22,1,3,25,22,40,15,13,20,14,,,18,10,17,15,,,15,28,48,62,,,18,28,45,60,,
Ovarense Aerosoles, Hapoel Jerusalem,FT,82,21,33,8,23,16,26,9,21,30,8,9,20,0,1,25,24,70,94,26,48,7,13,21,27,9,22,31,4,16,16,1,0,23,23,96,25,20,19,18,,,27,28,21,18,,,25,45,64,82,,,27,55,76,94,,
Real Madrid, Olympiakos,FT,75,30,55,1,7,12,22,13,27,40,11,10,14,3,6,25,22,75,73,17,34,7,22,18,26,6,23,29,9,12,16,6,3,22,25,73,19,18,16,22,,,23,16,16,18,,,19,37,53,75,,,23,39,55,73,,
Benetton Basket, Union Olimpija Ljubljana,FT,69,17,34,5,13,20,34,6,23,29,11,20,18,3,2,19,29,83,71,22,36,7,18,6,13,6,25,31,10,21,19,2,3,29,19,71,15,23,17,14,,,27,24,14,6,,,15,38,55,69,,,27,51,65,71,,
Haribo London Towers, Opel Skyliners,FT,86,23,51,6,18,22,29,11,30,41,11,11,12,1,0,21,0,70,61,21,41,2,12,13,17,6,34,40,12,8,21,1,0,28,0,39,21,22,16,27,,,14,19,12,16,,,21,43,59,86,,,14,33,45,61,,
Buducnost, FC Barcelona,FT,77,21,34,6,28,17,22,7,17,24,6,7,8,1,8,20,18,57,85,29,50,5,11,12,22,6,19,25,7,4,5,8,1,18,20,88,19,25,17,16,,,26,19,19,21,,,19,44,61,77,,,26,45,64,85,,
PAOK Thessaloniki, Muller Verona,OT,97,25,43,5,20,32,45,16,29,45,10,3,9,3,2,26,33,108,94,20,40,10,31,24,27,8,25,33,9,5,7,2,3,34,25,80,18,21,19,20,19,,16,23,24,15,16,,18,39,58,78,97,,16,39,63,78,94,
Peristeri, Lugano Snakes,FT,85,20,32,9,21,18,23,10,26,36,14,9,22,3,2,20,23,97,68,22,41,4,22,12,18,11,11,22,8,13,15,2,3,23,20,49,23,23,26,13,,,36,8,24,-68,,,23,46,72,85,,,36,44,68,,,
Zalgiris Kaunas, Adecco Estudiantes,FT,77,22,42,6,23,15,15,6,17,23,14,3,7,3,2,23,18,69,80,19,37,7,19,21,26,11,28,39,11,5,13,2,3,18,23,91,24,13,22,18,,,39,15,26,-80,,,24,37,59,77,,,39,54,80,,,
Zadar, PAF Bologna,OT,87,26,45,7,19,14,24,7,25,32,16,11,17,3,2,27,20,82,91,21,42,10,24,19,28,7,22,29,12,14,12,2,3,20,27,96,20,23,14,18,12,,16,26,18,15,16,,20,43,57,75,87,,16,42,60,75,91,
Tau Ceramica Vitoria Gasteiz, Region Wallone Spirou Charleroi,FT,76,22,44,7,13,11,22,8,19,27,11,18,14,3,2,22,21,79,64,17,41,4,20,18,25,20,24,44,8,8,21,2,3,21,22,56,24,17,18,17,,,36,17,11,-64,,,24,41,59,76,,,36,53,64,,,
Kinder Virtus Bologna, Cibona VIP,FT,106,32,51,6,15,24,29,13,24,37,14,18,17,2,1,28,25,123,88,28,55,3,12,23,34,17,16,33,4,19,16,1,2,25,28,83,30,36,22,18,,,44,23,21,-88,,,30,66,88,106,,,44,67,88,,,
Saint Petersburg Lions, AEK Athens,FT,69,15,38,9,18,12,20,8,24,32,7,5,15,2,0,29,22,53,90,20,40,10,17,20,30,6,25,31,9,4,12,1,0,22,29,93,12,20,11,26,,,48,18,24,-90,,,12,32,43,69,,,48,66,90,,,
Union Olimpija Ljubljana, Ovarense Aerosoles,FT,102,39,62,5,16,9,12,18,16,34,7,16,9,1,1,23,17,107,79,27,47,2,8,19,27,7,13,20,3,10,15,1,0,17,22,69,30,21,22,29,,,37,19,23,-79,,,30,51,73,102,,,37,56,79,,,
Olympiakos, Benetton Basket,FT,82,22,38,6,20,20,27,11,30,41,13,11,18,3,0,31,20,84,73,12,30,6,23,31,40,6,23,29,7,10,15,0,3,20,31,68,26,18,20,18,,,36,23,14,-73,,,26,44,64,82,,,36,59,73,,,
Hapoel Jerusalem, Real Madrid,FT,74,18,44,6,14,20,29,10,19,29,13,6,12,3,3,23,24,68,87,17,34,11,18,20,27,4,20,24,15,8,12,3,3,24,23,90,25,13,23,13,,,49,23,15,-87,,,25,38,61,74,,,49,72,87,,,
Muller Verona, Haribo London Towers,FT,102,22,38,11,21,25,27,9,30,39,15,16,10,2,0,20,25,141,76,19,35,9,25,11,16,5,20,25,3,13,16,0,3,25,20,56,23,25,25,29,,,38,17,21,-76,,,23,48,73,102,,,38,55,76,,,
FC Barcelona, PAOK Thessaloniki,FT,58,18,43,2,18,16,20,15,22,37,3,16,19,2,2,18,21,53,67,15,42,6,19,19,20,9,26,35,9,9,18,2,2,21,18,58,16,17,6,19,,,36,14,17,-67,,,16,33,39,58,,,36,50,67,,,
Opel Skyliners, Buducnost,FT,79,25,41,4,11,17,22,6,22,28,11,8,16,3,0,29,0,56,94,26,44,6,25,24,31,12,15,27,19,17,10,2,0,20,0,85,15,21,28,15,,,47,23,24,-94,,,15,36,64,79,,,47,70,94,,,
Lugano Snakes, PAF Bologna,FT,72,19,40,7,25,13,24,12,19,31,4,20,19,2,0,29,24,55,100,27,41,7,20,25,37,14,33,47,7,23,20,0,2,24,29,121,10,25,19,18,,,51,30,19,-100,,,10,35,54,72,,,51,81,100,,,
Adecco Estudiantes, Zadar,FT,93,26,46,7,17,20,24,9,26,35,14,8,9,0,0,28,22,101,81,22,43,4,16,25,32,12,19,31,13,3,9,0,0,22,28,85,27,24,18,24,,,39,23,19,-81,,,27,51,69,93,,,39,62,81,,,
Peristeri, Zalgiris Kaunas,FT,74,23,43,5,20,13,17,10,17,27,11,7,13,5,4,19,19,68,92,18,37,13,29,17,22,11,26,37,21,9,12,4,5,19,19,106,20,17,23,14,,,37,21,34,-92,,,20,37,60,74,,,37,58,92,,,
AEK Athens, Region Wallone Spirou Charleroi,FT,97,29,43,6,21,21,32,9,19,28,9,7,11,3,0,21,25,97,73,22,42,4,18,17,22,15,20,35,5,5,22,0,3,26,21,49,26,22,24,25,,,42,17,14,-73,,,26,48,72,97,,,42,59,73,,,
Cibona VIP, Saint Petersburg Lions,FT,75,22,41,5,17,16,24,10,26,36,9,8,19,1,2,22,23,70,70,26,49,2,15,12,19,10,19,29,3,16,12,2,1,23,21,62,22,11,20,22,,,39,14,17,-70,,,22,33,53,75,,,39,53,70,,,
Tau Ceramica Vitoria Gasteiz, Kinder Virtus Bologna,FT,59,19,44,4,17,9,17,13,24,37,12,12,12,1,5,26,23,55,65,11,27,8,17,19,28,5,27,32,13,9,16,5,1,23,26,76,18,15,10,16,,,30,16,19,-65,,,18,33,43,59,,,30,46,65,,,
Ovarense Aerosoles, Real Madrid,FT,73,17,40,11,22,6,8,9,23,32,6,11,18,2,0,26,17,61,80,25,42,2,15,24,33,10,26,36,8,15,14,4,0,17,26,99,15,14,17,27,,,47,17,16,-80,,,15,29,46,73,,,47,64,80,,,
Benetton Basket, Hapoel Jerusalem,FT,78,13,29,12,26,16,28,7,26,33,16,22,16,6,2,30,28,93,71,18,42,5,13,20,29,11,27,38,5,17,19,2,6,28,30,69,27,20,20,11,,,27,20,24,-71,,,27,47,67,78,,,27,47,71,,,
Union Olimpija Ljubljana, Olympiakos,FT,69,21,47,5,14,12,15,11,18,29,7,16,16,3,1,29,20,60,73,21,36,3,9,22,33,3,17,20,5,18,19,4,0,21,28,76,18,17,15,19,,,34,17,22,-73,,,18,35,50,69,,,34,51,73,,,
Haribo London Towers, Buducnost,FT,88,26,50,7,25,15,19,15,18,33,11,5,6,0,0,22,0,63,95,29,35,7,24,16,27,7,29,36,21,3,14,2,0,23,0,86,17,24,23,24,,,55,26,14,-95,,,17,41,64,88,,,55,81,95,,,
PAOK Thessaloniki, Opel Skyliners,FT,100,27,42,7,15,25,41,5,33,38,18,12,13,3,0,20,31,130,70,20,53,5,18,15,17,12,21,33,15,6,18,0,3,31,20,44,22,24,26,28,,,33,11,26,-70,,,22,46,72,100,,,33,44,70,,,
Muller Verona, FC Barcelona,FT,94,24,43,11,22,13,18,10,24,34,14,14,11,2,2,20,20,110,90,27,55,8,17,12,16,15,23,38,15,14,13,2,2,20,20,103,24,20,23,27,,,52,23,15,-90,,,24,44,67,94,,,52,75,90,,,
